68.4,26.4,92,47,72.5,27.5,92,53,202,6.6,2.59,420,1,39,1490.781723,11.40652911,790
68.1,25.2,91,47,65.5,25.7,90,53,204,8.2,2.54,415,1,37,1350.213369,11.03689295,760
68.6,24.4,90,47,70.1,28,90,52,205,7.3,2.57,433,1,41,1627.339382,11.81926247,870
68,25.8,91,46,70.1,26.1,91,53,204,6.7,2.57,418,1,36,1286.762331,11.25797679,890
72,19.8,90,55,73.3,20.3,91,46,253,7,1.52,403,1,35,1026.629071,6.743170911,460
72,20.8,90,55,72.6,21.4,90,48,253,6.5,1.52,401,1,31,858.0702237,6.697032984,450
71.7,21.1,91,55,72.9,22.1,90,47,253,5.9,1.51,401,1,25,599.5921971,6.65635965,440
70.7,22.3,91,54,73.3,20.3,91,47,251,6.1,1.5,399,1,42,1273.796403,6.570122738,480
65.2,21.3,92,90,65,21.7,92,90,203,5.1,2.57,522,0,34,978.3864072,15.29756737,800
65.8,21.3,88,90,64.5,21.3,88,90,203,5.8,2.57,519,0,26,593.7250748,15.17637447,690
64.5,20.9,90,89,65.5,19.6,90,89,254,5.6,1.49,423,0,20,239.3288413,7.077707646,330
63.8,20.8,89,91,65,19.3,89,91,254,5.5,1.5,414,0,21,263.5548619,6.913394782,330
67.9,25.2,90,48,67.9,27.6,90,53,205,5.7,2.54,428,1,40,1553.501222,11.51682739,810
67.9,25.6,90,47,67.9,26.5,90,52,205,6.3,2.51,418,1,21,457.164205,11.03590972,470
70.6,25.3,92,46,70.8,28,91,52,204,7.1,2.54,428,1,37,1048.15864,6.7,770
66.1,26.3,90,47,69.4,26.3,89,53,205,6.3,2.54,418,1,45,1361.573374,6.7,820
73.3,24.1,91,48,69.3,26.2,90,53,202,7.7,2.57,423,1,37,1514.324693,6.7,850
68.8,26.1,91,47,66.8,21.3,91,52,201,10.5,2.57,426,1,36,1569.767442,6.7,800
69.7,22.6,92,47,70.1,26.7,90,53,201,7.6,2.57,427,1,28,1606.886657,6.7,720
69.6,25.2,90,46,70.8,28.5,90,54,203,6.9,2.59,421,1,53,3045.977011,6.7,960
70,26.2,90,46,70.3,27.8,88,53,204,6.1,2.54,421,1,42,1200,6.7,870
68.9,26.6,91,46,68.1,26.7,91,53,204,6.5,2.54,420,1,32,928.8824383,6.7,650
72.1,25.1,89,48,71.4,28,89,53,203,7.5,2.57,424,1,47,1955.617198,6.7,1010
68,25.2,90,47,68.7,26.8,90,53,206,7.7,2.57,424,1,40,1764.705882,6.7,910
68.1,26,90,47,68.7,25,90,52,202,6.7,2.57,421,1,34,1997.063142,6.7,850
68.4,20.1,92,54,73.9,20.8,91,47,253,6.5,1.5,404,1,39,1140.350877,6.7,470
67.7,18.7,91,55,72.6,20.2,90,47,254,5.6,1.5,409,1,36,1063.51551,6.7,460
67.2,21.1,90,54,71.9,20.7,91,47,252,6.5,1.54,405,1,28,1250,6.7,430
71.9,20.1,91,56,72.9,20.6,91,47,253,6.3,1.54,402,1,30,1251.738526,6.7,460
71.9,21.9,91,55,71.6,19.9,90,48,257,6.9,1.52,397,1,44,2447.844228,6.7,560
72,22,90,54,73,20,90,46,253,6.1,1.52,409,1,31,1722.222222,6.7,430
74.7,22,91,55,70.2,21.5,91,47,254,6,1.5,402,1,27,722.8915663,6.7,410
69.3,20.4,90,55,72.5,20.1,89,47,258,6.2,1.52,398,1,39,1125.541126,6.7,530
69.4,19.1,90,55,71.2,20.5,90,48,253,5.9,1.52,398,1,41,1772.334294,6.7,560
68,19.4,90,55,70,19.8,90,48,254,5.7,1.52,402,1,39,1720.588235,6.7,530
68,18,90,53,72.9,20,88,45,254,5.1,1.52,388,1,37,2176.470588,6.7,510
68.1,22.6,90,54,72.8,20.2,88,47,254,6.8,1.52,409,1,40,2349.48605,6.7,540
63.8,21,93,90,64.5,21,93,90,203,4.8,2.57,525,0,20,626.9592476,6.7,460
66.8,20.3,92,90,64.4,20.9,92,90,203,4.6,2.57,526,0,26,778.4431138,6.7,510
61.5,21.2,91,90,62.8,20.2,91,90,203,4,2.58,514,0,21,1024.390244,6.7,560
62.3,20.1,88,90,68,21.7,88,90,203,5.8,2.57,531,0,24,1155.698234,6.7,650
64.7,21.2,87,90,65.7,21,87,90,203,6.3,2.57,541,0,26,1607.418856,6.7,820
64.4,21.3,88,91,64.9,21.1,88,91,203,4.6,2.57,547,0,12,745.3416149,6.7,540
63.1,21.2,89,90,63.2,20.9,89,90,254,4.3,1.49,411,0,22,697.3058637,6.7,290
62.9,20.9,89,89,64.4,20.3,89,89,254,4.3,1.5,410,0,33,1049.284579,6.7,380
63.1,20.1,90,90,68.1,21.3,90,90,254,4.8,1.5,413,0,22,1045.958796,6.7,300
63.1,21.1,90,90,68.8,19,90,90,254,5.6,1.5,413,0,12,570.5229794,6.7,220
64.1,19.7,90,89,65.2,18.9,90,89,254,4.4,1.5,417,0,22,1372.854914,6.7,320
62.7,20.7,90,91,65,18,90,91,254,4.8,1.5,413,0,30,1913.875598,6.7,420
